name,party_name,election_name,election_date,office,is_incumbent,special_election,created_at,updated_at,ocd_person_id,ocd_candidacy_id,ocd_election_id,ocd_post_id,ocd_contest_id,ocd_party_id,latest_calaccess_filer_id,calaccess_filer_id_count,latest_form501_filing_id,form501_filing_count
AARON CERVANTES,AMERICAN INDEPENDENT PARTY,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:17:58.878798+00,2017-10-25 02:17:58.927332+00,ocd-person/24357836-7437-4443-8e91-b7c5a37369e2,ocd-candidacy/5f504642-7c4d-4af2-b795-ef91151fbd5f,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/bacd06d4-b12d-4675-87c6-2fc4ca672b6e,,0,,
ANDREW J BLUMENFELD,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:06:59.421734+00,2017-10-25 02:06:59.501067+00,ocd-person/38977c18-9057-487f-88db-f52044e1b759,ocd-candidacy/20a650bd-12a5-4651-86b5-671b9fc2657f,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1380687,1,1992099,1
MARK J MAC CARLEY,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:07:00.59226+00,2017-10-25 02:07:00.669997+00,ocd-person/4821718f-5790-4cba-9338-ea9899a184b8,ocd-candidacy/e51da229-7fde-4dad-be61-6b22a4a2d573,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1005788,1,1987449,1
LAURA FRIEDMAN,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:07:00.123296+00,2017-10-25 02:07:00.197962+00,ocd-person/699010eb-23eb-4624-b05d-13bfd7dd433f,ocd-candidacy/8fe4bc82-4e67-4830-aaaf-9020f90fd040,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1368701,1,1868703,1
ALEXANDRA A. BUSTAMANTE,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:17:58.622472+00,2017-10-25 02:17:58.746758+00,ocd-person/6dfceccb-f866-4a9a-b15a-3b9663d5bfac,ocd-candidacy/36d1292c-a0b4-44d5-a811-38cf3baeffc8,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383860,1,2020692,1
RAJIV DALAL,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:06:59.893613+00,2017-10-25 02:06:59.970962+00,ocd-person/b3a7a574-0b7c-4f1c-9c08-c68aabeef412,ocd-candidacy/ed06b0c7-97c7-4b8e-868e-fcc2ad58aee1,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1376272,1,1954485,1
ARDY KASSAKHIAN,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:07:00.355985+00,2017-10-25 02:07:00.428521+00,ocd-person/eac9b8f5-ab95-4c29-84d8-cfb8ab738dcf,ocd-candidacy/ac35586e-1112-462d-9a65-d7020d8f2db3,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1366019,1,1847169,1
DENNIS R BULLOCK,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 43,,f,2017-10-25 02:06:59.660582+00,2017-10-25 02:06:59.729747+00,ocd-person/fc97e1a7-cae5-4c3e-829f-7c4431bdd667,ocd-candidacy/4a4d8ed6-2fa4-4eb8-a660-ae8c5081f979,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/096a6719-9a47-4e39-a3de-f5bffbc64f78,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1374186,1,1919432,1
JACQUI IRWIN,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 44,t,f,2017-10-25 02:07:04.578784+00,2017-10-25 02:07:04.65618+00,ocd-person/21b92d6a-896d-4cec-9b83-5cc44d571aee,ocd-candidacy/095e962a-7cfc-4414-b69e-9407f2a12ac8,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/5191f3e9-d94b-4f00-a73e-1c9ce31a7832,ocd-contest/fcc9d9d1-c0d9-4341-a0fb-9dd8d03c5c7c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1362509,1,1916941,1
KERRY J. NELSON,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 44,f,f,2017-10-25 02:07:04.810574+00,2017-10-25 02:07:04.890032+00,ocd-person/df3bc6c4-53ad-4c16-9b6f-a0051adc05f9,ocd-candidacy/07d17216-5e35-450d-8594-cb4ce9330d20,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/5191f3e9-d94b-4f00-a73e-1c9ce31a7832,ocd-contest/fcc9d9d1-c0d9-4341-a0fb-9dd8d03c5c7c,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383809,1,2020178,1
